SN,mB,mB_err,x1,x1_err,c,c_err,mu_1,mu_2,mu_err_1,mu_err_2,HR_1,HR_2,Outlier,Cluster,Cluster z,Cluster z (HD),r500 (Mpc),Projected r/r500,NED Host Galaxy,Ks/W1 log(M_stellar),Ks/W1 log(M_stellar)_err,Host/SN z,Host SFR
2019sen,16.933507695186997,0.00733176281167441,0.34250745412567096,0.057917106604761306,-0.05155791966005367,0.0056557412068906935,36.450480838537054,36.36648735944678,0.17014424560698438,0.14427280751585317,-0.312903205991212,-0.39689668508148657,n,MCXC J1811.0+4954,0.0501,0.05064414348191071,0.7673,1.3477414072513612,WISEA J181016.57+501048.2,9.886173328880194,0.050059372930000005,0.045998,Q
2019ulw,17.277489406610513,0.005270546953236901,0.1034332360086936,0.05448496315139952,-0.0577974465685008,0.004889972935005701,36.77960961595853,36.69505031211518,0.17063750587540533,0.14484920654313901,0.10788445458787521,0.023325150744526013,n,MCXC J0246.0+3653,0.0488,0.04862172574821555,0.8145,1.0214954895012145,N/A,N/A,N/A,0.044,N/A
2019uyw,18.401042362270225,0.04179954029630133,-0.5679909368131167,0.3751343994029229,-0.11273076097189286,0.03204458811983168,37.9558719630512,37.86489768582264,0.1822406270653885,0.15740758144126119,0.421043767748877,0.33006949052031587,y,MCXC J0257.8+1302,0.0722,0.07120137337151866,1.1169,1.1316773195727605,WISEA J025654.38+131012.3,10.299727124567102,0.050059372930000005,0.081047,Q
2020acqt,18.268336407942876,0.012190263723775322,0.7921923584719687,0.08464117853839945,0.16886196315869653,0.009785879733228616,37.28652943481473,37.23052043570374,0.17062969816039944,0.14477403910592682,0.48713123453498497,0.43112223542399164,y,MCXC J1147.3+5544,0.051,0.05146085486781171,0.6206,1.9999012206704745,MRK 1455,10.460713092333055,0.04605139296929984,0.052892,SF
2020acwj,17.421013927195823,0.02291549294065196,-0.39868325814199734,0.1340772663245103,0.2243548923037112,0.015634368907537312,36.146710721979076,36.099051186344404,0.172676756026912,0.14720655864095392,-0.2823490817892349,-0.33000861742390697,n,MCXC J2310.4+0734,0.0424,0.04363800527100192,0.7346,1.4818317819045068,WISEA J231138.74+074649.1,9.178920147025352,0.08214344805353792,0.04,Q
2020ags,15.543318044490933,0.0012727345362236295,0.31880856773076705,0.008247701267180092,-0.06168811338817067,0.0008739574162724023,35.082826339352216,34.997549764157405,0.19104306101147406,0.1684348960964521,0.13485607177150172,0.049579496576690474,n,MCXC J1259.7+2756,0.0231,0.02241056059744584,1.1378,1.9005912197157395,N/A,N/A,N/A,0.02,N/A
2020ddo,17.26122386755025,0.013894376875920161,-1.5027619915799497,0.11367228744757167,-0.022838731046426013,0.011078643316375274,36.46951528978919,36.391071855475786,0.17411307644893917,0.1488560034409618,0.205837905816324,0.12739447150291738,n,MCXC J1539.6+2147,0.0411,0.040529561041393825,0.796,1.776382955013099,WISEA J154107.78+220734.0,10.09346674355962,0.04605139296929984,0.042178,Q
2020jee,15.401818495452854,0.0027594899237547675,-1.5515997286615464,0.01853399170534537,-0.11913965104239192,0.002291410193467836,34.846922209415176,34.756104794159356,0.19162600284784145,0.16909113563459205,-0.07734410621225152,-0.16816152146807184,n,MCXC J1144.6+1945,0.0214,0.02217123423717693,0.9032,1.1226914205772953,CGCG 097-064,9.565233956581274,0.048055312705044484,0.019777,SF
2020jny,16.184009259320042,0.0030942955827295273,-1.6554252014446973,0.01929306427729462,-0.059853286757730086,0.0025759593123207696,35.46618452931163,35.38311888052132,0.18432901650329248,0.16077247525344174,0.1737941606172697,0.09072851182695985,n,MCXC J1204.1+2020,0.0252,0.026188463842696352,0.4781,1.483503179351825,WISEA J120258.54+200506.9,N/A,N/A,0.023706,GV
2020kpw,17.198738258910513,0.020200095372752535,0.813118394692045,0.15628828759990482,-0.032580100465063405,0.014094067991395077,36.72804958700492,36.64603363565023,0.17076366107280308,0.14489103620991972,-0.29921508404547836,-0.38123103540016956,n,MCXC J2158.3-2006,0.057,0.05693110681674507,0.6687,1.0792184335024104,WISEA J215746.71-195834.3,9.92312905024486,0.058077018844273284,0.056793,Q
