SN,mB,mB_err,x1,x1_err,c,c_err,mu_1,mu_2,mu_err_1,mu_err_2,HR_1,HR_2,Outlier,Cluster,Cluster z,Cluster z (HD),r500 (Mpc),Projected r/r500,NED Host Galaxy,Ks/W1 log(M_stellar),Ks/W1 log(M_stellar)_err,Host/SN z,Host SFR
2018bgs,18.253,0.005,-0.075,0.07,-0.086,0.005,37.695,37.715,0.158,0.141,0.178,0.199,n,MCXC J1421.5+4933,0.0716,0.0706,0.82,0.03,MCG +08-26-021,10.80811,0.04806,0.0719,Q
2018ccl,16.772,0.002,-1.582,0.015,0.094,0.002,35.585,35.612,0.17,0.155,-0.029,-0.002,n,MCXC J1628.6+3932,0.0299,0.0303,1.0,0.61,UGC 10404,10.32373,0.04605,0.0268,SF
2018dvb,17.903,0.006,-1.541,0.045,-0.113,0.006,37.214,37.244,0.158,0.142,-0.188,-0.159,n,MCXC J1533.2+3108,0.0673,0.0672,0.67,0.99,WISEA J153356.74+311009.7,10.49278,0.08014,0.0649,Q
2018eak,16.908,0.006,-2.66,0.052,0.03,0.005,35.73,35.764,0.171,0.155,0.11,0.145,n,MCXC J1615.5+1927,0.0308,0.0304,0.5,0.91,2MASX J16154858+1939440,9.84419,0.0436,0.0303,Q
2018fio,18.992,0.039,-1.758,0.332,0.189,0.029,37.555,37.582,0.163,0.146,-0.199,-0.173,n,MCXC J1521.2+3038,0.0777,0.0784,0.98,0.05,WISEA J152113.56+303813.2,9.59881,0.07211,0.075,Q
2018jsv,18.817,0.019,-2.986,0.188,-0.062,0.017,37.814,37.852,0.162,0.146,0.062,0.1,n,MCXC J1111.6+4050,0.0794,0.0783,0.87,0.19,MCG +07-23-031,11.57573,0.0132,0.0781,Q
2019aex,17.011,0.025,-2.279,0.382,-0.045,0.027,36.062,36.095,0.173,0.157,-0.21,-0.177,n,MCXC J0040.0+0649,0.0395,0.0407,0.7,0.91,WISEA J003915.70+064118.6,10.64746,0.04405,0.0387,Q
2019bsa,16.871,0.01,-2.277,0.047,-0.025,0.006,35.875,35.908,0.171,0.155,0.264,0.297,n,MCXC J1110.7+2842,0.0314,0.0302,0.59,0.07,MCG +05-27-004 NED02,10.29476,0.04405,0.0339,Q
2019cmx,18.551,0.007,0.6,0.096,-0.021,0.007,37.928,37.943,0.157,0.141,-0.074,-0.059,n,MCXC J1654.7+5854,0.0869,0.0873,0.7,0.31,WISEA J165500.60+585522.3,9.48676,0.08014,0.092,SF
2019cnu,17.194,0.004,-2.759,0.028,0.223,0.004,35.543,35.576,0.175,0.16,0.231,0.263,n,MCXC J1755.8+6236,0.0266,0.0264,0.47,0.01,NGC 6521,11.33262,0.0052,0.0271,Q
2019dom,18.595,0.036,-1.175,0.196,0.15,0.025,37.329,37.353,0.16,0.144,-0.544,-0.519,y,MCXC J1834.1+7057,0.0824,0.0825,0.7,0.03,WISEA J183408.56+705719.3,11.16789,0.04605,0.0834,Q
2019fcp,17.585,0.043,-2.037,0.469,0.094,0.027,36.337,36.367,0.175,0.159,0.214,0.244,n,MCXC J0737.6+5920,0.0384,0.0381,0.47,0.16,UGC 03928,10.78358,0.04405,0.0387,Q
2019gtl,18.288,0.028,0.441,0.389,-0.021,0.022,37.644,37.66,0.168,0.152,-0.062,-0.046,n,MCXC J1113.3+0231,0.078,0.0767,0.87,0.79,WISEA J111315.84+022415.5,9.24904,0.1766,0.079,Q
2019gwn,18.216,0.057,0.43,0.865,-0.087,0.045,37.727,37.745,0.208,0.193,-0.03,-0.012,n,MCXC J2058.2-0745,0.0793,0.0785,0.75,0.99,SALT TARGET,N/A,N/A,0.0816,SF
2019hhz,18.405,0.03,-2.465,0.15,0.07,0.026,37.157,37.19,0.167,0.152,0.208,0.241,n,MCXC J2350.8+0609,0.0562,0.055,0.86,0.34,WISEA J235038.57+060626.0,9.93911,0.05206,0.0553,Q
2019krv,16.153,0.005,-2.304,0.02,0.018,0.003,35.051,35.083,0.179,0.165,-0.061,-0.029,n,MCXC J2214.8+1350,0.0253,0.0241,0.48,0.15,NGC 7236,10.54783,0.04605,0.0262,Q
2019mbs,17.09,0.022,-2.145,0.134,0.025,0.019,35.992,36.024,0.171,0.155,0.047,0.079,n,MCXC J0338.6+0958,0.0347,0.0351,1.05,0.36,WISEA J033814.09+100503.5,11.20382,0.20278,0.0382,Q
2019qff,18.314,0.028,-0.321,0.244,0.062,0.023,37.371,37.391,0.165,0.149,0.073,0.093,n,MCXC J0015.4-2350,0.0645,0.0642,0.69,0.97,WISEA J001549.99-235727.7,10.23037,0.05206,0.063,SF
2019wmn,18.343,0.024,-1.227,0.176,-0.047,0.019,37.539,37.566,0.162,0.145,0.029,0.056,n,MCXC J1039.4+0510,0.07,0.0704,0.81,0.43,WISEA J103911.23+050945.6,9.85711,0.0661,0.0708,Q
2020aden,17.878,0.029,-2.021,0.144,-0.075,0.021,37.035,37.067,0.162,0.146,0.155,0.187,n,MCXC J0108.8-1524,0.0533,0.0533,0.75,0.98,WISEA J010801.10-152419.6,9.72416,0.06008,0.055,Q
2020cox,18.861,0.018,-2.129,0.187,0.068,0.016,37.663,37.694,0.161,0.144,-0.046,-0.015,n,MCXC J1217.6+0339,0.0766,0.0769,1.05,0.65,WISEA J121709.82+033806.7,10.65303,0.07412,0.0788,Q
2020ftd,17.659,0.046,-1.749,0.163,-0.004,0.029,36.683,36.712,0.165,0.149,0.175,0.204,n,MCXC J1253.2-1522,0.0462,0.0452,0.69,0.39,WISEA J125303.79-152701.4,10.52993,0.04405,0.043,Q
2020iyz,17.601,0.013,-2.431,0.101,0.01,0.011,36.501,36.534,0.163,0.147,-0.071,-0.038,n,MCXC J1257.1-1724,0.0473,0.0465,0.99,0.73,WISEA J125751.10-171537.4,9.8244,0.05407,0.05,Q
2020lxu,16.821,0.016,-1.491,0.039,0.017,0.01,35.829,35.857,0.167,0.151,-0.108,-0.08,n,MCXC J0036.5+2544,0.0341,0.035,0.55,0.45,WISEA J003608.66+254504.3,10.08898,0.06008,0.0332,Q
2020nlh,18.892,0.011,-1.47,0.066,-0.008,0.008,37.963,37.99,0.156,0.14,-0.284,-0.257,n,MCXC J1620.5+2953,0.0972,0.0971,0.94,0.88,WISEA J162030.13+300121.4,10.4224,0.05206,0.0953,Q
2020ppe,17.733,0.009,-2.918,0.048,0.143,0.006,36.251,36.286,0.164,0.148,-0.021,0.014,n,MCXC J0040.0+0649,0.0395,0.0407,0.7,0.75,WISEA J003936.06+063951.2,N/A,N/A,0.0389,Q
2020wcj,15.959,0.003,-1.649,0.012,0.085,0.002,34.784,34.812,0.182,0.167,-0.209,-0.181,n,MCXC J0252.8-0116,0.0235,0.0229,0.54,0.14,N/A,N/A,N/A,0.0237,N/A
2020yji,17.711,0.013,1.428,0.124,-0.072,0.01,37.319,37.331,0.16,0.143,-0.028,-0.016,n,MCXC J1200.3+5613,0.065,0.0656,0.76,0.96,N/A,N/A,N/A,0.07,N/A
2021aalx,16.948,0.008,-1.983,0.044,0.142,0.006,35.593,35.622,0.167,0.151,-0.344,-0.315,n,MCXC J0036.5+2544,0.0341,0.035,0.55,0.59,UGC 00367 NOTES01,10.44626,0.04605,0.0322,SF
2021ajy,18.186,0.029,-1.807,0.13,-0.192,0.02,37.65,37.682,0.16,0.144,0.21,0.242,n,MCXC J1115.5+5426,0.0691,0.0683,0.7,0.55,WISEA J111605.64+542713.4,10.14122,0.05206,0.0675,Q
2021cai,16.731,0.031,-2.684,0.153,-0.071,0.017,35.79,35.826,0.169,0.153,-0.147,-0.111,n,MCXC J0036.5+2544,0.0341,0.035,0.55,1.0,CGCG 479-042,10.63962,0.04405,0.0328,Q
2021fom,18.808,0.016,-1.528,0.132,-0.035,0.015,37.935,37.964,0.161,0.145,0.029,0.058,n,MCXC J1259.3-0411,0.0845,0.0837,1.13,0.2,WISEA J125912.06-041214.0,9.2174,0.19069,0.09,Q
2021low,15.452,0.002,0.811,0.013,-0.04,0.002,34.902,34.917,0.183,0.169,-0.022,-0.007,n,MCXC J1144.6+1945,0.0214,0.0222,0.9,0.64,UGC 06719,10.16318,0.04405,0.0219,SF
2021qxq,18.876,0.014,0.923,0.136,0.032,0.012,38.17,38.183,0.16,0.143,0.146,0.159,n,MCXC J1558.3+2713,0.0894,0.0881,1.38,0.65,SDSS J155819.79+272234.0,N/A,N/A,0.0886,Q
2021wyw,17.25,0.005,-2.023,0.059,-0.03,0.005,36.299,36.331,0.163,0.147,-0.13,-0.098,n,MCXC J2310.4+0734,0.0424,0.0436,0.73,0.07,NGC 7501,10.98381,0.04405,0.0427,Q
2021xy,17.709,0.039,-2.463,0.372,-0.031,0.032,36.702,36.736,0.169,0.153,-0.345,-0.311,n,MCXC J0102.7-2152,0.0569,0.0574,0.94,0.2,WISEA J010249.23-215010.6,9.93261,0.05808,0.0609,Q
2021zfo,18.843,0.022,-0.163,0.228,0.053,0.02,37.942,37.961,0.164,0.148,0.077,0.096,n,MCXC J1800.5+6913,0.0823,0.0823,0.69,0.5,WISEA J180027.09+690944.9,10.06703,0.05206,0.085,SF
2021zgk,18.232,0.017,-2.145,0.163,0.095,0.015,36.968,36.998,0.162,0.146,-0.016,0.014,n,MCXC J1857.6+3800,0.0567,0.0558,0.84,0.36,WISEA J185715.87+375914.6,10.96526,0.04405,0.0523,Q
2022czi,18.765,0.029,-2.041,0.271,0.047,0.025,37.629,37.659,0.167,0.152,0.281,0.312,n,MCXC J1200.3+5613,0.065,0.0656,0.76,0.17,MCG +09-20-056,10.97916,0.04806,0.0648,Q
2022nzb,18.484,0.017,-2.554,0.433,0.006,0.015,37.377,37.411,0.173,0.157,0.132,0.166,n,MCXC J1351.7+4622,0.0625,0.0627,0.67,0.99,CGCG 246-024,11.32708,0.04605,0.0623,Q
2022vrn,17.655,0.01,0.174,0.096,-0.111,0.009,37.189,37.209,0.16,0.143,0.009,0.029,n,MCXC J0753.4+2921,0.0621,0.0609,0.78,0.97,SDSS J075249.11+292909.2,N/A,N/A,0.06,Q
