SN,$m_B$ (mag),$x_1$,$c$,$\mu$ (mag),Cluster,$z$,$r_{500}$ (Mpc),Proj. $r/r_{500}$,NED Host Galaxy,Host/SN $z$,Host SFR
2021xy,$17.709 \pm 0.039$,$-2.463 \pm 0.372$,$-0.031 \pm 0.032$,$36.701 \pm 0.181$,MCXC J0102.7-2152,0.0569,0.94,0.20,WISEA J010249.23-215010.6,0.0609,Q
2021ajy,$18.186 \pm 0.029$,$-1.807 \pm 0.130$,$-0.192 \pm 0.020$,$37.682 \pm 0.171$,MCXC J1115.5+5426,0.0691,0.70,0.55,WISEA J111605.64+542713.4,0.0675,Q
2021aut,$17.044 \pm 0.018$,$+0.755 \pm 0.123$,$-0.019 \pm 0.011$,$36.520 \pm 0.184$,MCXC J1326.9-2710,0.0458,0.97,1.39,LEDA 764003,0.047,SF
2021bbz,$15.555 \pm 0.003$,$-0.149 \pm 0.030$,$+0.019 \pm 0.002$,$34.822 \pm 0.203$,MCXC J1144.6+1945,0.0214,0.90,1.03,ARK 321,0.0233,Q
2021bjd,$17.686 \pm 0.009$,$+0.825 \pm 0.113$,$-0.115 \pm 0.006$,$37.398 \pm 0.181$,MCXC J1348.8+2635,0.0622,1.22,1.09,WISEA J134749.23+262353.1,0.068,Q
2021bsf,$16.158 \pm 0.003$,$-1.780 \pm 0.023$,$-0.044 \pm 0.002$,$35.358 \pm 0.196$,MCXC J1204.1+2020,0.0252,0.48,1.83,WISEA J120604.02+203213.0,0.0237,Q
2021cai,$16.731 \pm 0.031$,$-2.684 \pm 0.153$,$-0.071 \pm 0.017$,$35.795 \pm 0.179$,MCXC J0036.5+2544,0.0341,0.55,1.00,CGCG 479-042,0.0328,Q
2021fom,$18.808 \pm 0.016$,$-1.528 \pm 0.132$,$-0.035 \pm 0.015$,$37.938 \pm 0.172$,MCXC J1259.3-0411,0.0845,1.13,0.20,WISEA J125912.06-041214.0,0.09,Q
2021hiz,$13.097 \pm 0.001$,$-0.485 \pm 0.003$,$+0.082 \pm 0.000$,$32.170 \pm 0.703$,MCXC J1230.7+1220,0.0036,0.75,1.88,IC 3322A,0.0033,Q
2021kaq,$17.358 \pm 0.026$,$-2.045 \pm 0.156$,$+0.019 \pm 0.020$,$36.374 \pm 0.188$,MCXC J0748.1+1832,0.0400,0.56,1.54,WISEA J074920.72+183920.9,0.0434,Q
2021kqo,$18.760 \pm 0.015$,$-1.752 \pm 0.159$,$+0.234 \pm 0.013$,$37.305 \pm 0.183$,MCXC J1533.2+3108,0.0673,0.67,1.67,2MASS J15335013+3056137,0.0658,Q
2021low,$15.452 \pm 0.002$,$+0.811 \pm 0.013$,$-0.040 \pm 0.002$,$34.916 \pm 0.192$,MCXC J1144.6+1945,0.0214,0.90,0.64,UGC 06719,0.0219,SF
2021qxq,$18.876 \pm 0.014$,$+0.923 \pm 0.136$,$+0.032 \pm 0.012$,$38.169 \pm 0.171$,MCXC J1558.3+2713,0.0894,1.38,0.65,SDSS J155819.79+272234.0,0.0886,Q
