SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2020may,17.20348594820001,0.00799796159926024,1.3859907743931452,0.0538079550127542,0.005623158141296235,0.005748860047123922,36.63495187330185,0.13716704723910128,-0.24887187687463097,n,10.49,0.10999999999999943,-11.22,0.45000000000000107,0.0533624217,0.053425638569696954
2020maz,18.29416563238482,0.019254734639189006,0.4549029213590747,0.1641674877370622,-0.0965479141873668,0.014987454984521163,37.8476666658642,0.1393666290320266,0.0005377221187714554,n,9.96,0.05999999999999872,-9.32,0.14000000000000057,0.080732815,0.08162259453034815
2020mcg,18.754652098980472,0.013742742766216188,1.1510412373882921,0.13269716236196094,0.04453370537808146,0.011775691098573623,38.0635915368575,0.13897944658904818,-0.18914656127213902,n,11.07,0.10999999999999943,-9.68,0.16000000000000014,0.0967872441,0.09733899146726799
2020mfs,18.169293855870745,0.016525845234843163,0.978466730855003,0.1968821829334217,0.20440012970022867,0.012810894546422999,37.07708775676149,0.13924931719988923,0.06199021658856907,n,10.48,0.07000000000000028,-9.18,0.0600000000000005,0.0568272844,0.05662535066512153
2020mfx,17.476415352704418,0.007212630114417412,-0.20159820678758203,0.03854966607019393,0.20593272182736638,0.005003685441690624,36.228348633297955,0.1381817857355003,-0.001558399254555809,n,9.56,0.08000000000000007,-10.47,0.20000000000000107,0.0392250046,0.03992184706505064
2020mwl,17.854785696989726,0.006580771969695842,-0.008803939356350564,0.05461979437994212,-0.03176934907428946,0.004951374265338572,37.194943346118826,0.13665653642394565,0.008469968011866058,n,10.22,0.10999999999999943,-11.12,0.3999999999999986,0.0611181036,0.061081536609307374
2020nbb,18.830798625938396,0.008638141086357347,1.2065719738932787,0.060348681511408084,0.1585316975733851,0.0057333895125378734,37.876726287321695,0.13627001910302533,-0.011713175410442034,n,10.78,0.08999999999999986,-10.07,0.14000000000000057,0.0824237019,0.08310549481476115
2020nei,18.4535337049441,0.018203602519039044,-2.6240626710356647,0.11068006780274357,0.06570491772681339,0.013672127444156029,37.22530896536795,0.1385205994053635,-2.2654195966254065e-05,n,10.57,0.10999999999999943,-10.62,0.1999999999999993,0.0617355369,0.062137914677120154
2020nia,18.97929972576602,0.018108063895946616,0.31064739824973814,0.13839003587958018,0.07248650046899274,0.013700336439736355,38.11358023402872,0.1393408772581866,0.11333415855362716,n,9.88,0.08000000000000007,-9.43,0.16000000000000014,0.0861585736,0.08724869591214124
2020nr,18.00570737513005,0.00550130496877244,0.9220535515197051,0.04546611602464285,0.04857142398791543,0.004170633696318803,37.27553800842473,0.1365607836132667,-0.030950264022585827,n,9.43,0.120000000000001,-9.73,0.21000000000000085,0.0628822669,0.06440113603595554
2020oer,18.67805907094659,0.005307520536443176,0.7123965457286402,0.05332805529887329,0.10746376968960863,0.004112399415331262,37.78126909118121,0.13610390346498955,-0.10377093723401032,n,10.49,0.08000000000000007,-10.32,0.15000000000000036,0.0826947391,0.08298250470023283
2020oha,17.090916930818608,0.04007932051372466,1.21965315737664,0.27115498482193073,-0.0637674785987572,0.02834483645980361,36.66538111239925,0.14035107529477522,0.048885719771512015,n,9.75,0.10999999999999943,-10.37,0.1999999999999993,0.0472063757,0.04744109995913193
2020orf,17.725980416093616,0.0033210406227593687,0.7171343891485485,0.028215004218706173,-0.018608183783904716,0.002406015327862624,37.12859214786163,0.13633699998113594,-0.1277659580531818,n,9.73,0.10999999999999943,-9.68,0.16000000000000014,0.0635622293,0.06299397601039991
2020oye,17.64025639518011,0.006490570623800993,0.8835554525971547,0.06100066265554377,0.06063824027761527,0.004982869999459696,36.87652241910719,0.13706104808645822,-0.07238974159503186,n,9.79,0.09000000000000163,-9.62,0.1899999999999995,0.0538315922,0.05498967653454767
2020piu,17.76734237105096,0.010459014651853652,0.8603310896990672,0.0824279046769794,0.13925877670042014,0.007939670008499692,36.814281780842144,0.13788294864916453,0.08460159732981509,n,9.48,0.08999999999999986,-10.47,0.20000000000000107,0.0490046516,0.049891191753310915
2020pmf,18.083484478515068,0.017014394930809418,0.5864048032165246,0.20732108019214532,-0.08191999397001089,0.013924660923153172,37.61928108383892,0.1411852549423914,-0.03360517707466926,n,9.64,0.09999999999999964,-8.98,0.21000000000000085,0.0741978139,0.07498185251521083
2020pmi,17.67197077884316,0.023239880042767374,0.1746265108698529,0.144355074500205,-0.0425533657631481,0.0160766932772321,37.06134907560403,0.13745926822917487,-0.19514071834819902,n,10.33,0.09999999999999964,-10.77,0.34999999999999964,0.0615643896,0.06299763350543897
2020qjy,17.548522429880865,0.0046509228654936325,2.284320358596395,0.06774086081792462,0.18717879548050995,0.003453515734903336,36.665586010850994,0.1363498992969605,-0.7599095496593833,y,9.94,0.11000000000000121,-10.02,0.1999999999999993,0.0677828118,0.06786359785937579
2020rcy,17.932281821275424,0.011777611672036817,1.0880863141220658,0.12864338637794132,-0.03757965649294934,0.008527357191403379,37.427708741685464,0.13748421517688683,-0.19346217710261726,n,9.71,0.0799999999999983,-9.38,0.20000000000000107,0.0731661096,0.07394781403385875
2020rxm,18.618216916255015,0.011736429342481168,-0.2037529984551111,0.09227254486177618,0.03816410232496481,0.008627628338237929,37.76748385694413,0.13681244603546672,-0.08003583615895593,n,9.74,0.08999999999999986,-9.82,0.20000000000000107,0.0817900598,0.08163650218266594
2020seo,18.25309354459167,0.017495749681167672,-0.3288086783123049,0.08572891568781925,-0.027496770215214954,0.012372762637351275,37.54184457049944,0.1372516698152111,-0.13741161279618552,n,10.21,0.0799999999999983,-10.37,0.14999999999999858,0.0768134445,0.07585211915437684
2020svo,16.894173825511828,0.0055884826650351134,0.1574738724601805,0.039082893510523735,-0.019285291616411526,0.0045506124494549835,36.226194096190085,0.13832385667725253,0.02891149637270729,n,8.85,0.08999999999999986,-9.52,0.1999999999999993,0.0387483947,0.03934318178571661
2020uvf,17.80234108584363,0.00954724439860021,0.5247644733430478,0.12484532120988945,-0.05377989829982316,0.008348589785152898,37.26349406187546,0.1383168199479717,0.1526063894991765,n,9.79,0.11000000000000121,-9.98,0.21000000000000085,0.0595106333,0.05907599592085777
2020vf,15.40551217061394,0.0030258789828537633,0.8753807598602756,0.026931155310627806,-0.03658958775126428,0.002405804479234643,34.8711536116064,0.14602308909816447,0.1539333157251903,n,8.45,0.08999999999999986,-10.02,0.28999999999999915,0.0202999562,0.02018499156326392
2020wtw,16.89205553348575,0.011183456502219271,-1.6066648869246216,0.10233198338189568,-0.05130445515002258,0.008097362992424896,36.07238732177803,0.13875458328241144,-0.20658737552695783,n,9.84,0.08000000000000007,-9.93,0.16000000000000014,0.0390056446,0.040807796940123264
2020xpt,17.880116551287305,0.015644293118587945,0.07332297606215095,0.11235497837191775,-0.02602092625873774,0.012456200337242783,37.21724481043253,0.13833420578225167,-0.14170503717021887,n,9.47,0.08000000000000007,-9.32,0.20000000000000107,0.0654779151,0.06590605311998377
2020zgu,17.199675938414476,0.006748241664079797,-0.7973720699931338,0.046889565215858305,0.08771374499002131,0.005281970817555758,36.154933365759014,0.13797380763546097,-0.1999103810448517,n,10.0,0.08999999999999986,-10.17,0.15000000000000036,0.0413579382,0.04221543049717824
2020zko,17.59694957958493,0.009598508893675611,0.08715683496163447,0.08072395904430839,-0.0002921294758931695,0.0075677122590654365,36.87488515815285,0.13776469282217452,0.045182318868889126,n,9.61,0.08000000000000007,-9.48,0.16000000000000014,0.0508042797,0.05215794311736177
2020zz,17.332629380393616,0.0031113182955265343,-0.014994946192257476,0.02634668771513846,0.14845990018545058,0.0025343549568715472,36.244845068895295,0.13779357350029053,-0.0857274725004018,n,10.19,0.08999999999999986,-9.27,0.08999999999999986,0.0407593511,0.04176005662723159
2021F,18.02831595192389,0.005477961899326803,0.8501016648725144,0.061373080320922375,0.056194283543604895,0.005177349642297404,37.2707986146941,0.13685702525436202,-0.06457267737018668,n,10.01,0.07000000000000028,-10.42,0.25,0.0656942502,0.06522554560407356
2021G,18.078900854032046,0.010301413918856943,0.14910431336274824,0.08573159093155207,0.22562325966166338,0.008853745224607492,36.8294081850577,0.13828000117477923,0.012490341211638167,n,9.58,0.09999999999999964,-9.73,0.21000000000000085,0.0512446985,0.051862747632746675
2021T,17.307170686494775,0.009901354455917893,-0.5612305968799037,0.2256022308612874,0.014661517795333546,0.010432485781601388,36.46602414232233,0.1404562894042145,-0.09126810494127113,n,9.75,0.1899999999999995,-9.52,0.1399999999999988,0.0454066694,0.0462063960677781
2021abht,16.663936161514265,0.07070350182790493,-0.04959458848099169,0.2101294816188026,-0.05926744840995961,0.04478282940145261,36.06400231233182,0.14204711423924035,0.1454260338936848,n,9.79,0.10000000000000142,-10.62,0.29999999999999893,0.035127677,0.03472171765935417
2021abym,17.691854187104077,0.010409386933367935,1.040062307652849,0.11420203430559334,-0.0011503903582569433,0.007882308688073745,37.094748649940364,0.13789891677379396,-0.10192463928112971,n,10.17,0.08999999999999986,-9.82,0.14000000000000057,0.061459884,0.061357141172486696
2021abyn,18.748821082551906,0.027479488477535837,0.2150464406794973,0.29096973141386373,0.11666905755342376,0.02068466333611581,37.76605640699795,0.14357812414399604,0.0198670889416519,n,10.24,0.09999999999999964,-10.42,0.1999999999999993,0.0781669691,0.07810460068115388
2021abzu,18.557797607892113,0.034152902759039316,-1.072350686382909,0.2711761971635346,-0.04958235158241573,0.02358098476438903,37.80297454259904,0.14324625568938137,0.07771662966811022,n,9.44,0.08000000000000007,-9.18,0.16000000000000014,0.0769158006,0.07739342711966612
2021acal,18.180669509549,0.010391550852405822,0.19749872262772328,0.16132601869974003,-0.04213066724499689,0.008967685619797548,37.57199652613861,0.13838600229196785,-0.12508338342647818,n,9.62,0.16999999999999993,-9.27,0.1999999999999993,0.0759712756,0.07644579913052385
2021acxt,18.379254760435668,0.013676120667570313,0.8125376999219245,0.250494299429114,-0.07328886344288121,0.013606491348466462,37.92376673008521,0.14224187777968503,0.05155539312753632,n,10.19,0.0600000000000005,-9.23,0.25,0.0828543454,0.082519927818971
2021adew,18.404743430357957,0.03827066249838477,0.7861676335695675,0.49249144886561513,-0.02980988706868287,0.028230101463501155,37.84280848744121,0.16119582292431484,0.12918995891443075,n,9.3,0.11999999999999922,-9.62,0.1899999999999995,0.0780205056,0.0770006420040974
2021adoz,17.160336907366684,0.012105248410962482,-0.3448162034436511,0.08543739908349655,-0.11132839809794884,0.008776054721711305,36.645703920614594,0.13763014751235458,-0.22543220301660938,n,9.55,0.11999999999999922,-10.12,0.23999999999999844,0.0527020283,0.053125806469787484
2021adtd,17.98678061437796,0.05534554985164065,-1.5843073396291734,0.616701734772442,-0.04849639975901995,0.042712061137758404,37.16334143499467,0.16615085704753252,-0.08518558869645432,n,10.49,0.09999999999999964,-10.97,0.40000000000000036,0.0630036816,0.06277684264432093
2021aemm,17.98065772194186,0.02641702732816418,-0.19974030221729544,0.22538762146982513,-0.05466570869382753,0.0262904045106159,37.3504489525602,0.15016700582890857,-0.17143919849670652,n,10.23,0.07000000000000028,-10.27,0.1999999999999993,0.0697305128,0.0707982769182387
